# Customizaton for DELIVERABLE TYPES
#
# --- BOMBARDIER TRANSPORTATION FUNCTIONAL DESIGN BASELINE ---
#
# Exchange IDs
#
# Deliverable Types
# DLVT1 = Type ID
# DM1 = Domain ID
# DLVT3 = Description of Type
# DLVT10 = Comment for Type
# DLVT20 = Is Scheduled
# DLVT21 = DefaultSchedule Type
# DLVT22 = responsible OU
# DLVT23 = Default Function
# DLVT24 = Responsible OU for Target
# DLVT25 = Target necessary
# DLVT26 = Default propertySet
# DLVT27 = Default Revision
# DLVT28 = AutoPublish Target
#
DLVT1;DM1;DLVT3;DLVT10;DLVT20;DLVT21;DLVT22;DLVT23;DLVT24;DLVT25;DLVT26;DLVT27;DLVT28
#
# SBB
#
FVDS;SBB;Functional Vehicle Design Specification;;True;PDM;;;;FALSE;FBLSBB;__;True;
FVTS;SBB;Functional Vehicle Testing Specification;;True;PDM;;;;FALSE;FBLSBB;__;True;
SSRS;SBB;Security and Safety Review Specification;;True;PDM;;;;FALSE;FBLSBB;__;True;
ICD;SBB;Interface Control Document;;True;PDM;;;;FALSE;FBLSBB;__;True;
#
# DOSTO2010
#
FVDS;DOSTO2010;Functional Vehicle Design Specification;;True;PDM;;;;FALSE;FBLDOSTO2010;__;True;
FVTS;DOSTO2010;Functional Vehicle Testing Specification;;True;PDM;;;;FALSE;FBLDOSTO2010;__;True;
SSRS;DOSTO2010;Security and Safety Review Specification;;True;PDM;;;;FALSE;FBLDOSTO2010;__;True;
ICD;DOSTO2010;Interface Control Document;;True;PDM;;;;FALSE;FBLDOSTO2010;__;True;
